 market  , stkcode  , order_book_id  , ind_number_2021  
 0       , 000976   , 000976.XSHE    , ind15            
 0       , 000981   , 000981.XSHE    , ind2             
 0       , 001208   , 001208.XSHE    , ind21            
 0       , 001209   , 001209.XSHE    , ind22            
 0       , 001223   , 001223.XSHE    , ind15            
 0       , 001226   , 001226.XSHE    , ind15            
 0       , 001278   , 001278.XSHE    , ind2             
 0       , 001337   , 001337.XSHE    , ind25            
 0       , 001338   , 001338.XSHE    , ind13            
 0       , 002006   , 002006.XSHE    , ind15            
 0       , 002011   , 002011.XSHE    , ind6             
 0       , 002027   , 002027.XSHE    , ind12            
 0       , 002044   , 002044.XSHE    , ind1             
 0       , 002062   , 002062.XSHE    , ind7             
 0       , 002073   , 002073.XSHE    , ind15            
 0       , 002078   , 002078.XSHE    , ind16            
 0       , 002082   , 002082.XSHE    , ind1             
 0       , 002109   , 002109.XSHE    , ind5             
 0       , 002114   , 002114.XSHE    , ind25            
 0       , 002115   , 002115.XSHE    , ind9             
 0       , 002129   , 002129.XSHE    , ind21            
 0       , 002146   , 002146.XSHE    , ind19            
 0       , 002155   , 002155.XSHE    , ind25            
 0       , 002166   , 002166.XSHE    , ind5             
 0       , 002183   , 002183.XSHE    , ind3             
 0       , 002184   , 002184.XSHE    , ind15            
 0       , 002200   , 002200.XSHE    , ind7             
 0       , 002204   , 002204.XSHE    , ind15            
 0       , 002208   , 002208.XSHE    , ind19            
 0       , 002209   , 002209.XSHE    , ind15            
 0       , 002226   , 002226.XSHE    , ind5             
 0       , 002229   , 002229.XSHE    , ind16            
 0       , 002237   , 002237.XSHE    , ind25            
 0       , 002240   , 002240.XSHE    , ind25            
 0       , 002249   , 002249.XSHE    , ind21            
 0       , 002258   , 002258.XSHE    , ind5             
 0       , 002268   , 002268.XSHE    , ind26            
 0       , 002301   , 002301.XSHE    , ind16            
 0       , 002302   , 002302.XSHE    , ind14            
 0       , 002316   , 002316.XSHE    , ind28            
 0       , 002336   , 002336.XSHE    , ind23            
 0       , 002379   , 002379.XSHE    , ind25            
 0       , 002383   , 002383.XSHE    , ind24            
 0       , 002384   , 002384.XSHE    , ind20            
 0       , 002398   , 002398.XSHE    , ind14            
 0       , 002404   , 002404.XSHE    , ind22            
 0       , 002405   , 002405.XSHE    , ind26            
 0       , 002406   , 002406.XSHE    , ind2             
 0       , 002446   , 002446.XSHE    , ind24            
 0       , 002448   , 002448.XSHE    , ind2             
 0       , 002457   , 002457.XSHE    , ind14            
 0       , 002469   , 002469.XSHE    , ind7             
 0       , 002472   , 002472.XSHE    , ind2             
 0       , 002489   , 002489.XSHE    , ind16            
 0       , 002494   , 002494.XSHE    , ind22            
 0       , 002504   , 002504.XSHE    , ind7             
 0       , 002511   , 002511.XSHE    , ind31            
 0       , 002527   , 002527.XSHE    , ind15            
 0       , 002561   , 002561.XSHE    , ind23            
 0       , 002563   , 002563.XSHE    , ind22            
 0       , 002565   , 002565.XSHE    , ind16            
 0       , 002567   , 002567.XSHE    , ind13            
 0       , 002569   , 002569.XSHE    , ind22            
 0       , 002570   , 002570.XSHE    , ind11            
 0       , 002577   , 002577.XSHE    , ind26            
 0       , 002578   , 002578.XSHE    , ind25            
 0       , 002606   , 002606.XSHE    , ind21            
 0       , 002633   , 002633.XSHE    , ind15            
 0       , 002636   , 002636.XSHE    , ind20            
 0       , 002656   , 002656.XSHE    , ind22            
 0       , 002661   , 002661.XSHE    , ind11            
 0       , 002671   , 002671.XSHE    , ind14            
 0       , 002687   , 002687.XSHE    , ind22            
 0       , 002736   , 002736.XSHE    , ind28            
 0       , 002743   , 002743.XSHE    , ind7             
